Word_Count,Keyword_Density,Meta_Title_Length,Meta_Desc_Length,Alt_Tag_Percent,SEO_Score
1160,2.55,44,165,33,65
1594,1.51,56,99,75,63
1430,1.05,59,156,37,63
1395,1.78,51,160,35,58
1938,1.87,58,170,82,79
2469,1.85,70,128,93,82
766,1.91,59,159,80,71
1538,2.87,31,131,92,84
630,2.76,44,136,35,62
1782,2.69,56,100,91,80
2435,2.5,36,135,62,70
430,2.86,56,123,31,51
1985,0.75,50,79,70,56
1069,1.16,42,107,45,47
1815,1.74,46,152,88,75
1515,2.62,40,100,38,58
1255,1.76,39,98,98,70
1484,2.37,62,94,39,57
759,0.85,43,101,36,39
321,1.13,66,86,95,52
1047,2.33,37,114,49,63
774,0.91,62,118,92,57
1382,1.38,36,156,33,51
2347,1.16,63,87,57,63
1275,1.37,36,144,64,54
2106,2.27,36,121,31,63
489,1.42,70,89,70,53
862,1.89,65,131,57,76
2199,0.75,36,82,30,44
1567,2.51,49,157,56,72
1828,1.42,47,112,96,69
946,2.12,70,153,68,72
2368,2.31,43,175,69,85
1597,1.02,69,161,57,74
900,2.71,43,168,53,64
2361,2.04,50,90,80,74
541,1.57,56,75,85,53
2341,0.96,55,140,55,66
1663,2.86,56,162,81,88
2439,2.39,53,122,35,79
1690,1.02,34,156,88,68
1778,1.34,67,121,41,62
1075,2.52,57,138,92,80
334,2.24,61,155,65,60
2255,2.41,53,78,38,62
1885,1.6,35,165,96,74
1321,2.29,39,143,58,71
1429,1.47,32,115,100,61
1800,1.03,36,176,37,56
1002,2.08,58,161,72,60
1879,2.94,63,144,64,93
461,1.28,36,140,51,46
501,1.65,46,99,95,43
2281,2.19,42,112,50,68
1295,1.85,50,178,100,78
1115,2.61,60,128,70,70
755,2.4,38,107,70,55
1575,0.65,42,103,78,58
1316,3.0,46,115,33,68
637,2.38,37,161,94,72
1178,2.66,38,101,39,54
1376,2.13,38,85,96,62
1091,2.64,69,108,39,63
1063,0.78,59,70,46,42
679,1.37,36,167,96,65
792,2.69,46,174,82,72
1480,1.0,68,126,64,56
2362,0.7,67,156,33,65
364,2.47,34,89,97,71
1667,2.59,46,151,40,65
1452,0.91,69,151,73,61
2327,2.64,30,111,89,76
1795,2.22,45,173,99,85
1462,1.8,46,154,91,74
1822,2.58,59,141,61,75
691,1.55,60,103,75,55
1998,0.98,64,119,52,71
718,1.21,37,80,66,51
678,1.76,59,176,87,78
2096,1.83,68,112,72,76
2388,2.51,50,79,44,67
2482,2.48,44,77,96,79
500,1.95,63,180,31,68
2163,2.45,56,141,100,87
1079,0.98,31,88,34,31
802,0.63,39,134,82,58
2051,2.68,34,124,74,82
1104,0.69,56,121,70,60
2446,1.12,33,72,92,55
2195,2.24,42,122,61,72
1870,1.52,46,113,31,61
1260,2.69,50,165,39,69
1785,1.24,52,117,72,65
1328,0.53,62,123,72,59
802,1.25,44,85,96,50
697,1.95,43,99,52,54
1170,1.44,38,161,89,60
692,1.84,66,97,35,52
506,2.69,59,85,42,54
1338,2.78,58,174,50,80
2181,1.16,52,120,87,72
1784,1.66,63,102,57,67
1163,1.87,36,94,99,64
863,2.87,38,87,37,58
1320,3.0,33,95,87,80
395,1.09,31,75,69,47
2223,2.32,56,107,30,62
2057,1.45,62,113,94,70
1978,0.52,61,136,39,55
840,0.52,66,112,89,54
1359,1.65,56,75,98,60
1483,1.72,57,147,49,67
2022,0.56,32,133,91,60
2119,2.22,65,151,42,75
1897,1.24,37,149,87,58
1095,1.9,70,157,66,62
1351,1.25,66,82,39,49
1943,0.92,67,134,32,61
1663,1.52,51,107,63,63
2281,1.08,43,133,63,68
1654,1.84,44,83,59,55
1963,1.0,33,86,66,57
1829,1.77,47,146,97,82
2338,0.89,30,82,63,58
1796,2.18,41,142,61,62
1708,2.38,70,75,87,79
1700,0.78,46,75,53,50
1606,1.67,48,163,38,65
1272,0.68,65,106,70,68
2068,2.0,36,126,53,66
1582,1.16,38,122,54,57
1009,1.82,37,115,65,57
1779,1.79,54,147,37,63
1734,2.81,36,73,88,72
948,1.87,37,103,64,53
617,1.96,53,135,67,61
1557,1.5,46,132,61,60
983,2.87,41,130,80,60
963,2.44,60,150,57,66
2298,1.21,41,111,85,71
1931,2.61,31,147,37,70
1795,1.58,41,133,70,63
1436,2.57,56,86,52,65
2153,2.56,36,130,83,73
1820,0.97,42,99,52,49
863,2.25,65,112,61,64
1591,1.23,30,162,39,54
1936,1.24,64,76,64,57
998,1.24,59,142,92,64
2460,2.31,60,115,96,78
301,1.07,46,92,65,52
941,0.5,37,105,78,51
1889,2.29,32,83,75,54
1154,0.93,39,89,56,50
2059,0.76,63,125,60,60
1961,1.09,51,150,63,62
1453,1.45,33,101,88,63
1376,1.69,61,94,83,64
2007,0.61,58,163,95,68
1995,2.93,40,118,59,67
2033,2.29,42,126,52,73
1739,1.31,33,96,38,55
1135,1.3,31,96,84,54
502,1.62,63,115,30,43
422,2.07,51,164,85,68
700,0.87,34,114,68,49
1066,0.97,38,95,47,44
593,2.65,49,83,71,65
497,1.14,50,117,94,56
2230,1.45,46,154,62,70
2491,2.68,41,161,59,88
908,2.16,57,84,34,51
1447,1.35,47,163,79,58
486,2.21,32,158,94,64
2094,0.55,34,120,39,46
959,2.34,43,123,89,60
2255,1.72,55,80,56,67
1669,2.53,48,177,57,75
2286,2.89,70,144,74,79
1834,2.81,46,97,81,82
446,2.77,68,124,95,70
2034,1.78,33,138,91,68
2143,1.4,64,161,89,82
788,1.66,53,141,69,63
2259,2.22,70,95,44,76
1963,2.71,42,139,36,59
940,1.02,62,101,68,52
2102,2.8,44,117,80,79
